Kode;Kecamatan;Jumlah;Jumlah;Kodepos[18];Status;Daftar
;;;;;;Sigaluh
;;;;;;Singomerto
;;;;;;Tunggara
;;;;;;Wanacipta
;;;;;Kelurahan;Kalibenda
33.04.01;Susukan;;15;53475;Desa;Berta
;;;;;;Brengkok
;;;;;;Derik
;;;;;;Dermasari
;;;;;;Gumelem Kulon
;;;;;;Gumelem Wetan
;;;;;;Karangjati
;;;;;;Karangsalam
;;;;;;Kedawung
;;;;;;Kemranggon
;;;;;;Pakikiran
;;;;;;Panerusan Kulon
;;;;;;Panerusan Wetan
;;;;;;Piasa Wetan
;;;;;;Susukan
33.04.10;Wanadadi;;11;53461;Desa;Gumingsir
;;;;;;Kandangwangi
;;;;;;Karangjambe
;;;;;;Karangkemiri
;;;;;;Kasalib
;;;;;;Lemahjaya
;;;;;;Linggasari
;;;;;;Medayu
;;;;;;Tapen
;;;;;;Wanadadi
;;;;;;Wanakarsa
33.04.17;Wanayasa;;17;53457;Desa;Balun
;;;;;;Bantar
;;;;;;Dawuhan
;;;;;;Jatilawang
;;;;;;Karangtengah
;;;;;;Kasimpar
;;;;;;Kubang
;;;;;;Legoksayem
;;;;;;Pagergunung
;;;;;;Pandansari
;;;;;;Penanggungan
;;;;;;Kalideres
;;;;;;Susukan
;;;;;;Suwidak
;;;;;;Tempuran
;;;;;;Wanaraja
;;;;;;Wanayasa
